tmc_row,Country Grouping,B,Country,Region,Machine Line,Machine Line,G,Size Class Flag,Brand Code,J,Reporter Flag,Pri/Sec,Source,FID,MS (%),TM,VCE FID,TM Non-VCE,CHECK 2024,existing_check,computed_check,match_count
2,GAE,UAE,UAE,Region International,330,Articulated Haulers,,#,Caterpillar Inc,,Y,P,DES,18,0,0,,,0,0,0,0
3,GAE,UAE,UAE,Region International,330,Articulated Haulers,,#,Develon,DOO,Y,P,DES,4,0,0,,,0,0,0,0
4,GAE,UAE,UAE,Region International,330,Articulated Haulers,,#,Komatsu,KOM,Y,P,DES,80,0,0,,,0,0,0,0
5,GAE,UAE,UAE,Region International,330,Articulated Haulers,,#,Volvo,VCE,Y,P,DES,129,0,0,,,0,0,0,0
6,GAE,UAE,UAE,Region International,340,Rigid Haulers,,#,Komatsu,KOM,Y,P,DES,106,0,0,,,0,0,0,0
7,GAE,UAE,UAE,Region International,340,Rigid Haulers,,#,Sany,SNY,Y,P,DES,18,0,0,,,0,0,0,0
8,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Bobcat,BOB,Y,P,DES,13,0,0,,,0,0,0,0
9,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Caterpillar Inc,,Y,P,DES,31,0,0,,,0,0,0,0
10,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Develon,DOO,Y,P,DES,3,0,0,,,0,0,0,0
11,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Hitachi,HIT,Y,P,DES,34,0,0,,,0,0,0,0
12,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,JCB,JCB,Y,P,DES,10,0,0,,,0,0,0,0
13,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Kobelco,KOB,Y,P,DES,25,0,0,,,0,0,0,0
14,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Liugong,LIU,Y,P,DES,10,0,0,,,0,0,0,0
15,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Sany,SNY,Y,P,DES,10,0,0,,,0,0,0,0
16,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Takeuchi,TAK,Y,P,DES,53,0,0,,,0,0,0,0
17,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Volvo,VCE,Y,P,DES,3,0,0,,,0,0,0,0
18,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Wacker Neuson,WAN,Y,P,DES,53,0,0,,,0,0,0,0
19,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Yanmar,YAN,Y,P,DES,50,0,0,,,0,0,0,0
20,GAE,UAE,UAE,Region International,CEX,Compact Excavators,,<10T,Zoomlion,ZOO,Y,P,DES,10,0,0,,,0,0,0,0
21,GAE,UAE,UAE,Region International,GEC,GPE Excavators Crawled,,>10T,Case,CAS,Y,P,DES,2,0,0,,,0,0,0,0
22,GAE,UAE,UAE,Region International,GEC,GPE Excavators Crawled,,>10T,Caterpillar Inc,,Y,P,DES,212,0,0,,,0,0,0,0
23,GAE,UAE,UAE,Region International,GEC,GPE Excavators Crawled,,>10T,Develon,DOO,Y,P,DES,32,0,0,,,0,0,0,0
24,GAE,UAE,UAE,Region International,GEC,GPE Excavators Crawled,,>10T,Hitachi,HIT,Y,P,DES,74,0,0,,,0,0,0,0
25,GAE,UAE,UAE,Region International,GEC,GPE Excavators Crawled,,>10T,Hyundai,HYU,Y,P,DES,58,0,0,,,0,0,0,0
