machine_line_name,machine_line_code,Size Class,Artificial machine line,Position
GPE Crawler Excavators,310,>10T,GEC,"TMA, SAL"
GPE Crawler Excavators,310,>6T,GEC,"TMA, SAL"
Crawler Excavators,GEC,>10T,GEC,OTH
Crawler Excavators,GEC,>6T,GEC,OTH
Articulated Haulers,330,Articulated Haulers,330,"TMA, SAL"
Rigid Haulers,340,Rigid Haulers,340,"TMA, SAL"
Asphalt Paver,Asphalt Paver,Asphalt Paver,Asphalt Paver,"TMA, SAL"
Compact Wheel Loaders,350,<7,WLO,"TMA, SAL"
Compact Wheel Loaders,350,7<10,WLO,"TMA, SAL"
Compact Wheel Loaders,350,10<12,WLO,"TMA, SAL"
Compact Wheel Loaders,350,<10,WLO,"TMA, SAL"
Compact Wheel Loaders,350,<12,WLO,"TMA, SAL"
Compact Wheel Loaders,350,＞12,WLO,"TMA, SAL"
Wheel Loaders,WLO,＞10,WLO,OTH
Wheel Loaders,WLO,＞12,WLO,OTH
GPE Wheel Loaders,360,＞10,WLO,"TMA, SAL"
GPE Wheel Loaders,360,＞12,WLO,"TMA, SAL"
Motor Graders,380,Motor Graders,380,SAL
Compaction Machines,390,Compaction Machines,390,"TMA, SAL"
Backhoe Loaders,410,Backhoe Loaders,410,SAL
Wheeled Excavators,GEW,>6T,GEW,OTH
Wheeled Excavators,GEW,>11T,GEW,OTH
GPE Wheeled Excavators,320,>6T,GEW,"TMA, SAL"
GPE Wheeled Excavators,320,>11T,GEW,"TMA, SAL"
Compact Excavators,CEX,<6T,Mini,"TMA, SAL"
Compact Excavators,CEX,6<10T,Midi,"TMA, SAL, OTH"
Compact Excavators,CEX,6<11T,Midi,"TMA, SAL, OTH"
Compact Excavators,CEX,<10T,Midi,"TMA, SAL, OTH"
Compact Excavators,CEX,Mini,Mini,SAL
Compact Excavators,CEX,Midi,Midi,SAL
Paving Machines,400,Paving Machines,400,SAL
