Calendar Year,Source,,Machine Line,,Brand Code,
2024,Abimaq,ABQ,Compact Excavators,CEX,Bobcat,BOB
2024,Abimaq,ABQ,Compact Excavators,CEX,Case,CAS
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,CASE,CAS
2024,Abimaq,ABQ,Wheel Loaders,WLO,CASE,CAS
2024,Abimaq,ABQ,Motor Graders,380,CASE,CAS
2024,Abimaq,ABQ,Compact Excavators,CEX,Caterpillar,CAT
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Caterpillar,CAT
2024,Abimaq,ABQ,Wheel Loaders,WLO,Caterpillar,CAT
2024,Abimaq,ABQ,Motor Graders,380,Caterpillar,CAT
2024,Abimaq,ABQ,Compact Excavators,CEX,Develon,DOO
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Develon,DOO
2024,Abimaq,ABQ,Wheel Loaders,WLO,Develon,DOO
2024,Abimaq,ABQ,Compact Excavators,CEX,Hyundai,HYU
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Hyundai,HYU
2024,Abimaq,ABQ,Wheel Loaders,WLO,Hyundai,HYU
2024,Abimaq,ABQ,Motor Graders,380,Hyundai,HYU
2024,Abimaq,ABQ,Compact Excavators,CEX,JCB,JCB
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,JCB,JCB
2024,Abimaq,ABQ,Wheel Loaders,WLO,JCB,JCB
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Deere,JOH
2024,Abimaq,ABQ,Wheel Loaders,WLO,Deere,JOH
2024,Abimaq,ABQ,Motor Graders,380,Deere,JOH
2024,Abimaq,ABQ,Compact Excavators,CEX,Komatsu,KOM
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Komatsu,KOM
2024,Abimaq,ABQ,Wheel Loaders,WLO,Komatsu,KOM
2024,Abimaq,ABQ,Motor Graders,380,Komatsu,KOM
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Liebherr,LIE
2024,Abimaq,ABQ,Wheel Loaders,WLO,Liebherr,LIE
2024,Abimaq,ABQ,Compact Excavators,CEX,Linkbelt,LIK
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Linkbelt,LIK
2024,Abimaq,ABQ,Compact Excavators,CEX,Liugong,LIU
2024,Abimaq,ABQ,Compact Wheel Loaders,350,Liugong,LIU
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Liugong,LIU
2024,Abimaq,ABQ,Wheel Loaders,WLO,Liugong,LIU
2024,Abimaq,ABQ,Motor Graders,380,Liugong,LIU
2024,Abimaq,ABQ,Compact Excavators,CEX,Muller,MUU
2024,Abimaq,ABQ,Compact Excavators,CEX,New Holland,NEW
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,New Holland,NEW
2024,Abimaq,ABQ,Wheel Loaders,WLO,New Holland,NEW
2024,Abimaq,ABQ,Motor Graders,380,New Holland,NEW
2024,Abimaq,ABQ,Compact Excavators,CEX,Sany,SNY
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Sany,SNY
2024,Abimaq,ABQ,Wheel Loaders,WLO,Sany,SNY
2024,Abimaq,ABQ,Motor Graders,380,Sany,SNY
2024,Abimaq,ABQ,Compact Excavators,CEX,SDLG,LIN
2024,Abimaq,ABQ,Compact Wheel Loaders,350,SDLG,LIN
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,SDLG,LIN
2024,Abimaq,ABQ,Wheel Loaders,WLO,SDLG,LIN
2024,Abimaq,ABQ,Motor Graders,380,SDLG,LIN
2024,Abimaq,ABQ,Compact Wheel Loaders,350,SEM,SEM
2024,Abimaq,ABQ,Wheel Loaders,WLO,SEM,SEM
2024,Abimaq,ABQ,Motor Graders,380,SEM,SEM
2024,Abimaq,ABQ,Compact Excavators,CEX,Volvo,VCE
2024,Abimaq,ABQ,Compact Wheel Loaders,350,Volvo,VCE
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,Volvo,VCE
2024,Abimaq,ABQ,Wheel Loaders,WLO,Volvo,VCE
2024,Abimaq,ABQ,Compact Excavators,CEX,XCMG,XCM
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,XCMG,XCM
2024,Abimaq,ABQ,Wheel Loaders,WLO,XCMG,XCM
2024,Abimaq,ABQ,Motor Graders,380,XCMG,XCM
2024,Abimaq,ABQ,Compact Excavators,CEX,Yanmar,YAN
2024,CECE,CEE,Wheel Loaders,WLO,Atlas Weyhausen,ATW
2024,CECE,CEE,Wheel Loaders,WLO,Bobcat,BOB
2024,CECE,CEE,Compact Excavators,CEX,Bobcat,BOB
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Bobcat,BOB
2024,CECE,CEE,GPE Excavators Crawled,GEC,Bobcat,BOB
2024,CECE,CEE,Wheel Loaders,WLO,Case,CAS
2024,CECE,CEE,Compact Excavators,CEX,Case,CAS
2024,CECE,CEE,GPE Excavators Crawled,GEC,Case,CAS
2024,CECE,CEE,Motor Graders,380,Case,CAS
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Case,CAS
2024,CECE,CEE,Wheel Loaders,WLO,Caterpillar,CAT
2024,CECE,CEE,Compact Excavators,CEX,Caterpillar,CAT
2024,CECE,CEE,GPE Excavators Crawled,GEC,Caterpillar,CAT
2024,CECE,CEE,Articulated Haulers,330,Caterpillar,CAT
2024,CECE,CEE,Motor Graders,380,Caterpillar,CAT
2024,CECE,CEE,Rigid Haulers,340,Caterpillar,CAT
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Caterpillar,CAT
2024,CECE,CEE,Wheel Loaders,WLO,Claas,CLA
2024,CECE,CEE,Wheel Loaders,WLO,Cukurova,CUK
2024,CECE,CEE,Compact Excavators,CEX,Cukurova,CUK
2024,CECE,CEE,GPE Excavators Crawled,GEC,Cukurova,CUK
