Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Bobcat,BOB
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Case,CAS
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,CASE,CAS
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,CASE,CAS
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,CASE,CAS
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Caterpillar,CAT
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Caterpillar,CAT
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Caterpillar,CAT
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Caterpillar,CAT
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Develon,DOO
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Develon,DOO
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Develon,DOO
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Hyundai,HYU
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Hyundai,HYU
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Hyundai,HYU
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Hyundai,HYU
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,JCB,JCB
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,JCB,JCB
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,JCB,JCB
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Deere,JOH
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Deere,JOH
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Deere,JOH
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Komatsu,KOM
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Komatsu,KOM
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Komatsu,KOM
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Komatsu,KOM
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Liebherr,LIE
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Liebherr,LIE
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Linkbelt,LIK
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Linkbelt,LIK
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Liugong,LIU
2024,Abimaq,ABQ,Compact Wheel Loaders,350,350,Liugong,LIU
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Liugong,LIU
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Liugong,LIU
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Liugong,LIU
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Muller,MUU
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,New Holland,NEW
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,New Holland,NEW
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,New Holland,NEW
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,New Holland,NEW
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,Sany,SNY
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,Sany,SNY
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,Sany,SNY
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,Sany,SNY
2024,Abimaq,ABQ,Compact Excavators,CEX,CEX,SDLG,LIN
2024,Abimaq,ABQ,Compact Wheel Loaders,350,350,SDLG,LIN
2024,Abimaq,ABQ,GPE Excavators Crawled,GEC,GEC,SDLG,LIN
2024,Abimaq,ABQ,Wheel Loaders,WLO,WLO,SDLG,LIN
2024,Abimaq,ABQ,Motor Graders,Motor Graders,380,SDLG,LIN
2024,Abimaq,ABQ,Compact Wheel Loaders,350,350,SEM,SEM
