country_grouping,country_name,machine_line_code,machine_line_name,primary_source,secondary_source,crp_source,change_indicator
GCR,Costa Rica,300,Compact Excavators,PIN,,HVE,
GCR,Costa Rica,310,GPE Crawler Excavators,PIN,,HVE,
GCR,Costa Rica,320,GPE Wheel Excavators,PIN,,HVE,
GCR,Costa Rica,330,Articulated Haulers,PIN,,HVE,
GCR,Costa Rica,340,Rigid Haulers,PIN,,HVE,
GCR,Costa Rica,350,Compact Wheel Loaders,PIN,,HVE,
GCR,Costa Rica,360,GPE Wheel Loaders,PIN,,HVE,
GCR,Costa Rica,380,Motor Graders,PIN,,HVE,
GCR,Costa Rica,390,Compaction Machines,PIN,,,
GCR,Costa Rica,410,Backhoe Loaders,PIN,,,
GEC,Ecuador,300,Compact Excavators,PIN,,HVE,
GEC,Ecuador,310,GPE Crawler Excavators,PIN,,HVE,
GEC,Ecuador,320,GPE Wheel Excavators,PIN,,HVE,
GEC,Ecuador,330,Articulated Haulers,PIN,,HVE,
GEC,Ecuador,340,Rigid Haulers,PIN,,HVE,
GEC,Ecuador,350,Compact Wheel Loaders,PIN,,HVE,
GEC,Ecuador,360,GPE Wheel Loaders,PIN,,HVE,
GEC,Ecuador,380,Motor Graders,PIN,,HVE,
GEC,Ecuador,390,Compaction Machines,PIN,,,
GEC,Ecuador,410,Backhoe Loaders,PIN,,,
GGR,Greece,300,Compact Excavators,OHR,,CEE,
GGR,Greece,310,GPE Crawler Excavators,OHR,,CEE,
GGR,Greece,320,GPE Wheel Excavators,OHR,,CEE,
GGR,Greece,330,Articulated Haulers,OHR,,CEE,
GGR,Greece,340,Rigid Haulers,OHR,,CEE,
GGR,Greece,350,Compact Wheel Loaders,OHR,,CEE,
GGR,Greece,360,GPE Wheel Loaders,OHR,,CEE,
GGR,Greece,380,Motor Graders,OHR,,CEE,
GGR,Greece,390,Compaction Machines,,,,
GGT,Guatemala,300,Compact Excavators,PIN,,HVE,
GGT,Guatemala,310,GPE Crawler Excavators,PIN,,HVE,
GGT,Guatemala,320,GPE Wheel Excavators,PIN,,HVE,
GGT,Guatemala,330,Articulated Haulers,PIN,,HVE,
GGT,Guatemala,340,Rigid Haulers,PIN,,HVE,
GGT,Guatemala,350,Compact Wheel Loaders,PIN,,HVE,
GGT,Guatemala,360,GPE Wheel Loaders,PIN,,HVE,
GGT,Guatemala,380,Motor Graders,PIN,,HVE,
GGT,Guatemala,390,Compaction Machines,PIN,,,
GGT,Guatemala,410,Backhoe Loaders,PIN,,,
GNI,Nicaragua,300,Compact Excavators,PIN,,HVE,
GNI,Nicaragua,310,GPE Crawler Excavators,PIN,,HVE,
GNI,Nicaragua,320,GPE Wheel Excavators,PIN,,HVE,
GNI,Nicaragua,330,Articulated Haulers,PIN,,HVE,
GNI,Nicaragua,340,Rigid Haulers,PIN,,HVE,
GNI,Nicaragua,350,Compact Wheel Loaders,PIN,,HVE,
GNI,Nicaragua,360,GPE Wheel Loaders,PIN,,HVE,
GNI,Nicaragua,380,Motor Graders,PIN,,HVE,
GNI,Nicaragua,390,Compaction Machines,PIN,,,
GNI,Nicaragua,410,Backhoe Loaders,PIN,,,
GPA,Panama,300,Compact Excavators,PIN,,HVE,
GPA,Panama,310,GPE Crawler Excavators,PIN,,HVE,
GPA,Panama,320,GPE Wheel Excavators,PIN,,HVE,
GPA,Panama,330,Articulated Haulers,PIN,,HVE,
GPA,Panama,340,Rigid Haulers,PIN,,HVE,
GPA,Panama,350,Compact Wheel Loaders,PIN,,HVE,
GPA,Panama,360,GPE Wheel Loaders,PIN,,HVE,
GPA,Panama,380,Motor Graders,PIN,,HVE,
GPA,Panama,390,Compaction Machines,PIN,,,
GPA,Panama,410,Backhoe Loaders,PIN,,,
GPY,Paraguay,300,Compact Excavators,PIN,,HVE,
GPY,Paraguay,310,GPE Crawler Excavators,PIN,,HVE,
GPY,Paraguay,320,GPE Wheel Excavators,PIN,,HVE,
GPY,Paraguay,330,Articulated Haulers,PIN,,HVE,
GPY,Paraguay,340,Rigid Haulers,PIN,,HVE,
GPY,Paraguay,350,Compact Wheel Loaders,PIN,,HVE,
GPY,Paraguay,360,GPE Wheel Loaders,PIN,,HVE,
GPY,Paraguay,380,Motor Graders,PIN,,HVE,
GPY,Paraguay,390,Compaction Machines,PIN,,,
GPY,Paraguay,410,Backhoe Loaders,PIN,,,
GUY,Uruguay,300,Compact Excavators,PIN,,HVE,
GUY,Uruguay,310,GPE Crawler Excavators,PIN,,HVE,
GUY,Uruguay,320,GPE Wheel Excavators,PIN,,HVE,
GUY,Uruguay,330,Articulated Haulers,PIN,,HVE,
GUY,Uruguay,340,Rigid Haulers,PIN,,HVE,
GUY,Uruguay,350,Compact Wheel Loaders,PIN,,HVE,
GUY,Uruguay,360,GPE Wheel Loaders,PIN,,HVE,
GUY,Uruguay,380,Motor Graders,PIN,,HVE,
GUY,Uruguay,390,Compaction Machines,PIN,,,
GUY,Uruguay,410,Backhoe Loaders,PIN,,,
GTL,Timor-Leste,330,Articulated Haulers,DES,,HVE,
GTL,Timor-Leste,410,Backhoe Loaders,DES,,,
GTL,Timor-Leste,300,Compact Excavators,DES,,HVE,
GTL,Timor-Leste,350,Compact Wheel Loaders,DES,,HVE,
GTL,Timor-Leste,310,GPE Crawler Excavators,DES,,HVE,
GTL,Timor-Leste,320,GPE Wheel Excavators,DES,,HVE,
GTL,Timor-Leste,360,GPE Wheel Loaders,DES,,HVE,
GTL,Timor-Leste,380,Motor Graders,DES,,HVE,
GTL,Timor-Leste,390,Compaction Machines,DES,,,
GTL,Timor-Leste,340,Rigid Haulers,DES,,HVE,
GBN,Brunei,330,Articulated Haulers,DES,,HVE,
GBN,Brunei,410,Backhoe Loaders,DES,,,
GBN,Brunei,300,Compact Excavators,DES,,HVE,
GBN,Brunei,350,Compact Wheel Loaders,DES,,HVE,
GBN,Brunei,310,GPE Crawler Excavators,DES,,HVE,
GBN,Brunei,320,GPE Wheel Excavators,DES,,HVE,
GBN,Brunei,360,GPE Wheel Loaders,DES,,HVE,
GBN,Brunei,380,Motor Graders,DES,,HVE,
GBN,Brunei,390,Compaction Machines,DES,,,
GBN,Brunei,340,Rigid Haulers,DES,,HVE,
GAR,Argentina,300,Compact Excavators,OHR,PIN,HVE,
GAR,Argentina,310,GPE Crawler Excavators,OHR,PIN,HVE,
GAR,Argentina,320,GPE Wheel Excavators,OHR,PIN,HVE,
GAR,Argentina,330,Articulated Haulers,OHR,PIN,HVE,
GAR,Argentina,340,Rigid Haulers,OHR,PIN,HVE,
GAR,Argentina,350,Compact Wheel Loaders,OHR,PIN,HVE,
GAR,Argentina,360,GPE Wheel Loaders,OHR,PIN,HVE,
