Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
Indicator",delete,"Motor graders we have TM for, Backhoe Loaders we do not have TM for"
GCR,Costa Rica,300,Compact Excavators,CEX,PIN,,HVE,,,
GCR,Costa Rica,310,GPE Crawler Excavators,GEC,PIN,,HVE,,,
GCR,Costa Rica,320,GPE Wheel Excavators,GEW,PIN,,HVE,,,
GCR,Costa Rica,330,Articulated Haulers,Articulated Haulers,PIN,,HVE,,,
GCR,Costa Rica,340,Rigid Haulers,Rigid Haulers,PIN,,HVE,,,
GCR,Costa Rica,350,Compact Wheel Loaders,350,PIN,,HVE,,,
GCR,Costa Rica,360,GPE Wheel Loaders,WLO,PIN,,HVE,,,
GCR,Costa Rica,380,Motor Graders,Motor Graders,PIN,,HVE,,,
GCR,Costa Rica,390,Compaction Machines,Compaction Machines,PIN,,,,,
GCR,Costa Rica,410,Backhoe Loaders,Backhoe Loaders,PIN,,,,,
GEC,Ecuador,300,Compact Excavators,CEX,PIN,,HVE,,,
GEC,Ecuador,310,GPE Crawler Excavators,GEC,PIN,,HVE,,,
GEC,Ecuador,320,GPE Wheel Excavators,GEW,PIN,,HVE,,,
GEC,Ecuador,330,Articulated Haulers,Articulated Haulers,PIN,,HVE,,,
GEC,Ecuador,340,Rigid Haulers,Rigid Haulers,PIN,,HVE,,,
GEC,Ecuador,350,Compact Wheel Loaders,350,PIN,,HVE,,,
GEC,Ecuador,360,GPE Wheel Loaders,WLO,PIN,,HVE,,,
GEC,Ecuador,380,Motor Graders,Motor Graders,PIN,,HVE,,,
GEC,Ecuador,390,Compaction Machines,Compaction Machines,PIN,,,,,
GEC,Ecuador,410,Backhoe Loaders,Backhoe Loaders,PIN,,,,,
GGR,Greece,300,Compact Excavators,CEX,OHR,,CEE,,,
GGR,Greece,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GGR,Greece,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GGR,Greece,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GGR,Greece,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GGR,Greece,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GGR,Greece,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GGR,Greece,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GGR,Greece,390,Compaction Machines,Compaction Machines,,,,,,
GGT,Guatemala,300,Compact Excavators,CEX,PIN,,HVE,,,
GGT,Guatemala,310,GPE Crawler Excavators,GEC,PIN,,HVE,,,
GGT,Guatemala,320,GPE Wheel Excavators,GEW,PIN,,HVE,,,
GGT,Guatemala,330,Articulated Haulers,Articulated Haulers,PIN,,HVE,,,
GGT,Guatemala,340,Rigid Haulers,Rigid Haulers,PIN,,HVE,,,
GGT,Guatemala,350,Compact Wheel Loaders,350,PIN,,HVE,,,
GGT,Guatemala,360,GPE Wheel Loaders,WLO,PIN,,HVE,,,
GGT,Guatemala,380,Motor Graders,Motor Graders,PIN,,HVE,,,
GGT,Guatemala,390,Compaction Machines,Compaction Machines,PIN,,,,,
GGT,Guatemala,410,Backhoe Loaders,Backhoe Loaders,PIN,,,,,
