Year,Geographical Region,Geographical Market Area,End Country,End Country Code,Machine Family,Machine Line,Machine Line Code,Size Class,Size Class Mapping,Total Market FID Sales
2024,Region Asia,MA Asia East,Brunei,BN,Compact Equipment,Compact Excavators,CEX,EC1<2,<6T,0
2024,Region Asia,MA Asia East,Brunei,BN,Compact Equipment,Compact Excavators,CEX,EC3<4,<6T,0
2024,Region Asia,MA Asia East,Brunei,BN,Compact Equipment,Compact Excavators,CEX,EC6<8,6<10T,1
2024,Region Asia,MA Asia East,Brunei,BN,General Purpose Equipment,GPE Crawler Excavators,310,EC10<14,>10T,0
2024,Region Asia,MA Asia East,Brunei,BN,General Purpose Equipment,GPE Crawler Excavators,310,EC19<21,>10T,2
2024,Region Asia,MA Asia East,Brunei,BN,General Purpose Equipment,GPE Crawler Excavators,310,EC21<24,>10T,1
2024,Region Asia,MA Asia East,Brunei,BN,General Purpose Equipment,GPE Crawler Excavators,310,EC33<40,>10T,1
2024,Region Asia,MA Asia East,Brunei,BN,General Purpose Equipment,GPE Wheel Loaders,360,WLC16<17,>12,0
2024,Region Asia,MA Asia East,Brunei,BN,Road Machinery Equipment,Compaction Machines,390,VS-SS8<12,Compaction Machines,0
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC0<1,<6T,"2,583"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC1<2,<6T,"4,055"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC2<3,<6T,"4,875"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC3<4,<6T,"7,885"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC4<5,<6T,"3,237"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC5<6,<6T,"2,001"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC6<8,6<10T,"4,973"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EC8<10,6<10T,820
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Excavators,CEX,EW0<6,<6T,4
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC0<5,<7,"5,449"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC10<12,10<12,"3,010"
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC12<13,>12,380
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC5<6,<7,933
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC6<7,<7,60
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC7<8,7<10,789
2024,Region Asia,MA Asia East,Japan,JP,Compact Equipment,Compact Wheel Loaders,350,WLC8<9,7<10,536
