Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Asia,MA Indonesia,Indonesia,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,234
2023,Region Asia,MA Indonesia,Indonesia,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Asia,MA Indonesia,Indonesia,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,SDLG,China,SAL,134
2023,Region Asia,MA Indonesia,Indonesia,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,224
2023,Region Asia,MA Indonesia,Indonesia,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,SDLG,China,SAL,3
2023,Region Asia,MA Indonesia,Indonesia,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Asia,MA Indonesia,Indonesia,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Rokbak,United Kingdom,SAL,24
2023,Region Asia,MA Indonesia,Indonesia,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,192
2023,Region Asia,MA Indonesia,Indonesia,340,Rigid Haulers,Rigid Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,31
2023,Region Asia,MA Indonesia,Indonesia,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,8
2023,Region Asia,MA Indonesia,Indonesia,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,184
2023,Region Asia,MA Indonesia,Indonesia,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,15
2023,Region Asia,MA Japan,Japan,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Asia,MA Japan,Japan,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,7
2023,Region Asia,MA Japan,Japan,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,10
2023,Region Asia,MA Japan,Japan,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,18
