Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2024,Region Asia,MA Asia East,Japan,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Asia,MA Asia East,Japan,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,9
2024,Region Asia,MA Asia East,Japan,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,16
2024,Region Asia,MA Asia East,Japan,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Asia,MA Asia East,Japan,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,56
2024,Region Asia,MA Asia East,Japan,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,10
2024,Region Asia,MA Asia East,Japan,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Asia,MA Asia East,Malaysia,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,10
2024,Region Asia,MA Asia East,Malaysia,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,6
2024,Region Asia,MA Asia East,Malaysia,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,50
2024,Region Asia,MA Asia East,Malaysia,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,75
2024,Region Asia,MA Asia East,Malaysia,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,2
2024,Region Asia,MA Asia East,Malaysia,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,37
2024,Region Asia,MA Asia East,Malaysia,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,4
2024,Region Asia,MA Asia East,Philippines,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,30
2024,Region Asia,MA Asia East,Philippines,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,13
2024,Region Asia,MA Asia East,Philippines,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Asia,MA Asia East,Philippines,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,178
2024,Region Asia,MA Asia East,Philippines,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,159
2024,Region Asia,MA Asia East,Philippines,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,SDLG,China,SAL,30
2024,Region Asia,MA Asia East,Philippines,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,68
2024,Region Asia,MA Asia East,Philippines,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,7
2024,Region Asia,MA Asia East,Philippines,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,4
2024,Region Asia,MA Asia East,Philippines,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,92
