size_class_mapping,size_class,occurrences
10<12,WLC10<12,75
6<10T,EC6<8,128
6<10T,EC8<10,83
6<10T,EW6<8,24
6<11T,EW8<11,51
7<10,WLC7<8,80
7<10,WLC8<9,92
7<10,WLC9<10,62
<6T,EC0<1,58
<6T,EC1<2,109
<6T,EC2<3,98
<6T,EC3<4,123
<6T,EC4<5,83
<6T,EC5<6,135
<6T,EW0<6,66
<7,WLC0<5,46
<7,WLC5<6,37
<7,WLC6<7,44
>10T,EC100<120,55
>10T,EC10<14,118
>10T,EC120<150,38
>10T,EC14<16,98
>10T,EC150<200,32
>10T,EC16<19,51
>10T,EC19<21,165
>10T,EC200<300,33
>10T,EC21<24,174
>10T,EC24<28,135
>10T,EC28<33,165
>10T,EC300<500,19
>10T,EC33<40,172
>10T,EC40<50,145
>10T,EC50<66,96
>10T,EC550<700,12
>10T,EC66<80,103
>10T,EC700+,4
>10T,EC80<100,84
>10T,EC90<150,1
>11T,EW11<13,36
>11T,EW13<15,105
>11T,EW15<17,94
>11T,EW17<20,103
>11T,EW20+,96
>12,WLC12<13,140
>12,WLC13<14,124
>12,WLC14<15,114
>12,WLC15<16,143
>12,WLC16<17,182
>12,WLC17<18,145
>12,WLC18<19,140
>12,WLC19<20,91
>12,WLC20<21,108
>12,WLC21<23,56
>12,WLC23<30,79
Articulated Haulers,AH0<26,29
Articulated Haulers,AH26<30,74
Articulated Haulers,AH30<35,27
Articulated Haulers,AH35+,93
Compaction Machines,3WSR,18
Compaction Machines,CR0<1.8,22
Compaction Machines,CR1.8<3,56
Compaction Machines,CR3<5,52
Compaction Machines,CR5<8,36
Compaction Machines,PTR0<2.5,95
Compaction Machines,PTR2.5+,110
Compaction Machines,VS-SP0<5,12
Compaction Machines,VS-SP12<15,25
Compaction Machines,VS-SP15+,33
Compaction Machines,VS-SP5<8,10
Compaction Machines,VS-SP8<12,31
Compaction Machines,VS-SS0<5,62
Compaction Machines,VS-SS12<15,126
Compaction Machines,VS-SS15+,1
Compaction Machines,VS-SS15<19,115
Compaction Machines,VS-SS19+,110
Compaction Machines,VS-SS5<8,59
Compaction Machines,VS-SS8<12,148
Compaction Machines,VTR-2D0<1.8,70
Compaction Machines,VTR-2D1.8<3.0,127
Compaction Machines,VTR-2D11.3+,86
Compaction Machines,VTR-2D3.0<5.0,107
Compaction Machines,VTR-2D5.0<8.0,78
Compaction Machines,VTR-2D8.0<11.3,118
Rigid Haulers,RH0<55,57
Rigid Haulers,RH120<200,32
Rigid Haulers,RH200<275,17
Rigid Haulers,RH275+,12
Rigid Haulers,RH55<75,32
Rigid Haulers,RH75<120,57
