size_class,size_class_mapping,occurrences
3WSR,Compaction Machines,18
AH0<26,Articulated Haulers,29
AH26<30,Articulated Haulers,74
AH30<35,Articulated Haulers,27
AH35+,Articulated Haulers,93
CR0<1.8,Compaction Machines,22
CR1.8<3,Compaction Machines,56
CR3<5,Compaction Machines,52
CR5<8,Compaction Machines,36
EC0<1,<6T,58
EC100<120,>10T,55
EC10<14,>10T,118
EC120<150,>10T,38
EC14<16,>10T,98
EC150<200,>10T,32
EC16<19,>10T,51
EC19<21,>10T,165
EC1<2,<6T,109
EC200<300,>10T,33
EC21<24,>10T,174
EC24<28,>10T,135
EC28<33,>10T,165
EC2<3,<6T,98
EC300<500,>10T,19
EC33<40,>10T,172
EC3<4,<6T,123
EC40<50,>10T,145
EC4<5,<6T,83
EC50<66,>10T,96
EC550<700,>10T,12
EC5<6,<6T,135
EC66<80,>10T,103
EC6<8,6<10T,128
EC700+,>10T,4
EC80<100,>10T,84
EC8<10,6<10T,83
EC90<150,>10T,1
EW0<6,<6T,66
EW11<13,>11T,36
EW13<15,>11T,105
EW15<17,>11T,94
EW17<20,>11T,103
EW20+,>11T,96
EW6<8,6<10T,24
EW8<11,6<11T,51
PTR0<2.5,Compaction Machines,95
PTR2.5+,Compaction Machines,110
RH0<55,Rigid Haulers,57
RH120<200,Rigid Haulers,32
RH200<275,Rigid Haulers,17
RH275+,Rigid Haulers,12
RH55<75,Rigid Haulers,32
RH75<120,Rigid Haulers,57
VS-SP0<5,Compaction Machines,12
VS-SP12<15,Compaction Machines,25
VS-SP15+,Compaction Machines,33
VS-SP5<8,Compaction Machines,10
VS-SP8<12,Compaction Machines,31
VS-SS0<5,Compaction Machines,62
VS-SS12<15,Compaction Machines,126
VS-SS15+,Compaction Machines,1
VS-SS15<19,Compaction Machines,115
VS-SS19+,Compaction Machines,110
VS-SS5<8,Compaction Machines,59
VS-SS8<12,Compaction Machines,148
VTR-2D0<1.8,Compaction Machines,70
VTR-2D1.8<3.0,Compaction Machines,127
VTR-2D11.3+,Compaction Machines,86
VTR-2D3.0<5.0,Compaction Machines,107
VTR-2D5.0<8.0,Compaction Machines,78
VTR-2D8.0<11.3,Compaction Machines,118
WLC0<5,<7,46
WLC10<12,10<12,75
WLC12<13,>12,140
WLC13<14,>12,124
WLC14<15,>12,114
WLC15<16,>12,143
WLC16<17,>12,182
WLC17<18,>12,145
WLC18<19,>12,140
WLC19<20,>12,91
WLC20<21,>12,108
WLC21<23,>12,56
WLC23<30,>12,79
WLC5<6,<7,37
WLC6<7,<7,44
WLC7<8,7<10,80
WLC8<9,7<10,92
WLC9<10,7<10,62
